iter	Passed	Remaining
0	68	13707
1	73	7324
2	79	5218
3	87	4267
4	92	3618
5	98	3179
6	104	2874
7	108	2612
8	113	2409
9	119	2273
10	124	2135
11	128	2018
12	133	1919
13	138	1839
14	142	1757
15	147	1696
16	152	1642
17	156	1583
18	161	1536
19	166	1497
20	170	1452
21	174	1414
22	180	1390
23	185	1357
24	188	1322
25	194	1298
26	198	1269
27	202	1244
28	207	1225
29	212	1201
30	216	1178
31	221	1161
32	226	1144
33	230	1124
34	235	1109
35	239	1092
36	244	1075
37	249	1063
38	254	1049
39	258	1032
40	263	1020
41	267	1007
42	271	992
43	276	981
44	282	971
45	285	957
46	290	945
47	295	936
48	299	922
49	304	912
50	308	902
51	312	890
52	317	881
53	322	872
54	327	862
55	331	852
56	336	844
57	340	833
58	345	825
59	350	817
60	354	807
61	359	799
62	364	792
63	368	782
64	372	774
65	377	767
66	382	758
67	386	750
68	391	743
69	395	735
70	400	727
71	405	721
72	410	713
73	414	705
74	419	698
75	424	692
76	428	684
77	433	678
78	438	672
79	442	664
80	447	657
81	452	650
82	456	642
83	461	636
84	466	630
85	469	622
86	474	616
87	479	609
88	482	602
89	487	596
90	492	590
91	496	583
92	501	577
93	506	571
94	510	564
95	515	558
96	519	551
97	524	545
98	529	539
99	533	533
100	537	526
101	542	521
102	547	515
103	551	509
104	556	503
105	561	497
106	565	491
107	570	485
108	575	480
109	579	473
110	584	468
111	589	463
112	593	456
113	598	451
114	603	445
115	607	439
116	611	433
117	616	428
118	621	422
119	625	417
120	631	412
121	635	406
122	639	400
123	644	394
124	648	388
125	652	383
126	657	378
127	661	372
128	666	366
129	671	361
130	675	355
131	679	350
132	684	344
133	688	339
134	693	333
135	698	328
136	702	322
137	707	317
138	712	312
139	715	306
140	720	301
141	725	296
142	729	290
143	734	285
144	739	280
145	742	274
146	747	269
147	752	264
148	756	258
149	761	253
150	766	248
151	770	243
152	774	238
153	779	232
154	783	227
155	788	222
156	792	217
157	796	211
158	801	206
159	806	201
160	809	196
161	814	191
162	819	186
163	823	180
164	828	175
165	833	170
166	837	165
167	842	160
168	846	155
169	850	150
170	855	145
171	859	139
172	864	134
173	869	129
174	873	124
175	877	119
176	882	114
177	887	109
178	891	104
179	896	99
180	900	94
181	904	89
182	909	84
183	913	79
184	918	74
185	923	69
186	928	64
187	932	59
188	937	54
189	941	49
190	945	44
191	950	39
192	954	34
193	958	29
194	963	24
195	967	19
196	972	14
197	976	9
198	981	4
199	986	0
