Year,drug,equity,popularity,normalizedcountry,CV,label,Sport
1896,0.0,,,,,0,Alpine Skiing
1900,0.0,,,,,0,Alpine Skiing
1904,0.0,,,,,0,Alpine Skiing
1906,0.0,,,,,0,Alpine Skiing
1908,0.0,,,,,0,Alpine Skiing
1912,0.0,,,,,0,Alpine Skiing
1920,0.0,,,,,0,Alpine Skiing
1924,0.0,,,,,0,Alpine Skiing
1928,0.0,,,,,0,Alpine Skiing
1932,0.0,,,,,0,Alpine Skiing
1936,0.0,,,,,1,Alpine Skiing
1948,0.0,,,,,1,Alpine Skiing
1952,0.0,,,,,1,Alpine Skiing
1956,0.0,,,,,1,Alpine Skiing
1960,0.0,,,,,1,Alpine Skiing
1964,0.0,,,,,1,Alpine Skiing
1968,0.0,,,,,1,Alpine Skiing
1972,0.0,,,,,1,Alpine Skiing
1976,0.0,,,,,1,Alpine Skiing
1980,0.0,,,,,1,Alpine Skiing
1984,0.0,,,,,1,Alpine Skiing
1988,0.0,,,,,1,Alpine Skiing
1992,0.0,,,,,1,Alpine Skiing
1996,0.0,,,,,0,Alpine Skiing
2000,0.0,,,,,0,Alpine Skiing
2004,0.0,,,,,0,Alpine Skiing
2008,0.0,,,,,0,Alpine Skiing
2012,0.0,,,,,0,Alpine Skiing
2016,0.0,,,,,0,Alpine Skiing
2020,0.0,,,,,0,Alpine Skiing
2024,0.0,,,,,0,Alpine Skiing
1896,0.0,,,,,0,Alpinism
1900,0.0,,,,,0,Alpinism
1904,0.0,,,,,0,Alpinism
1906,0.0,,,,,0,Alpinism
1908,0.0,,,,,0,Alpinism
1912,0.0,,,,,0,Alpinism
1920,0.0,,,,,0,Alpinism
1924,0.0,,,,,1,Alpinism
1928,0.0,,,,,0,Alpinism
1932,0.0,,,,,1,Alpinism
1936,0.0,,,,,1,Alpinism
1948,0.0,,,,,0,Alpinism
1952,0.0,,,,,0,Alpinism
1956,0.0,,,,,0,Alpinism
1960,0.0,,,,,0,Alpinism
1964,0.0,,,,,0,Alpinism
1968,0.0,,,,,0,Alpinism
1972,0.0,,,,,0,Alpinism
1976,0.0,,,,,0,Alpinism
1980,0.0,,,,,0,Alpinism
