,Sport_-1,equity_1896,equity_1900,equity_1904,equity_1906,equity_1908,equity_1912,equity_1920,equity_1924,equity_1928,equity_1932,equity_1936,equity_1948,equity_1952,equity_1956,equity_1960,equity_1964,equity_1968,equity_1972,equity_1976,equity_1980,equity_1984,equity_1988,equity_1992,equity_1996,equity_2000,equity_2004,equity_2008,equity_2012,equity_2016,equity_2020,equity_2024
0,Alpine Skiing,,,,,,,,,,,0.3592233009708738,0.2583333333333333,0.335978835978836,0.3573200992555831,0.403125,0.3284671532846715,0.3199052132701421,0.3846153846153846,0.3205128205128205,0.3761467889908257,0.3266832917705736,0.3607784431137724,0.348,,,,,,,,
1,Alpinism,,,,,,,,0.0,,0.0,0.5,,,,,,,,,,,,,,,,,,,,
2,Archery,,0.0,0.2285714285714285,,0.3246753246753247,,0.0,,,,,,,,,,,0.4210526315789473,0.421875,0.4328358208955223,0.4311926605504587,0.4163424124513619,0.4534412955465587,0.5,0.4854368932038835,0.5141509433962265,0.4845360824742268,0.5,0.5,0.5,0.5
3,Art Competitions,,,,,,0.0,0.0909090909090909,0.1037735849056603,0.068069306930693,0.1405693950177935,0.063960639606396,0.1656050955414012,,,,,,,,,,,,,,,,,,,
4,Athletics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1300403225806451,0.1532567049808429,0.1330685203574975,0.2245480494766888,0.2232142857142857,0.2132280355380059,0.2057926829268292,0.2569288389513108,0.2631970260223048,0.3001186239620403,0.323053199691596,0.2949526813880126,0.3028673835125448,0.3579049466537342,0.36952288218111,0.3755238893545683,0.4177471636952998,0.4602298850574712,0.4759358288770053,0.4815627743634767,0.4816586921850079,0.48,0.5
5,Badminton,,,,,,,,,,,,,,,,,,,,,,,0.4867256637168141,0.5057034220532319,0.5288888888888889,0.505,0.5163043478260869,0.5164835164835165,0.4971751412429379,0.5,0.5
6,Baseball,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,
7,Basketball,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3380281690140845,0.3348837209302325,0.3333333333333333,0.3940677966101695,0.3983050847457627,0.5035211267605634,0.4965034965034965,0.4982578397212543,0.4982578397212543,0.4982578397212543,0.498220640569395,0.5,0.5
8,Basque Pelota,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Beach Volleyball,,,,,,,,,,,,,,,,,,,,,,,,0.4285714285714285,0.5,0.5,0.5,0.5,0.5,,0.5
