,Sport_-1,drug_1896,equity_1896,drug_1900,equity_1900,drug_1904,equity_1904,drug_1906,equity_1906,drug_1908,equity_1908,drug_1912,equity_1912,drug_1920,equity_1920,drug_1924,equity_1924,drug_1928,equity_1928,drug_1932,equity_1932,drug_1936,equity_1936,drug_1948,equity_1948,drug_1952,equity_1952,drug_1956,equity_1956,drug_1960,equity_1960,drug_1964,equity_1964,drug_1968,equity_1968,drug_1972,equity_1972,drug_1976,equity_1976,drug_1980,equity_1980,drug_1984,equity_1984,drug_1988,equity_1988,drug_1992,equity_1992,drug_1996,equity_1996,drug_2000,equity_2000,drug_2004,equity_2004,drug_2008,equity_2008,drug_2012,equity_2012,drug_2016,equity_2016,drug_2020,equity_2020,drug_2024,equity_2024,estimate per event_2024,label_1896,label_1900,label_1904,label_1906,label_1908,label_1912,label_1920,label_1924,label_1928,label_1932,label_1936,label_1948,label_1952,label_1956,label_1960,label_1964,label_1968,label_1972,label_1976,label_1980,label_1984,label_1988,label_1992,label_1996,label_2000,label_2004,label_2008,label_2012,label_2016,label_2020,label_2024,popularity_1896,popularity_1900,popularity_1904,popularity_1906,popularity_1908,popularity_1912,popularity_1920,popularity_1924,popularity_1928,popularity_1932,popularity_1936,popularity_1948,popularity_1952,popularity_1956,popularity_1960,popularity_1964,popularity_1968,popularity_1972,popularity_1976,popularity_1980,popularity_1984,popularity_1988,popularity_1992,popularity_1996,popularity_2000,popularity_2004,popularity_2008,popularity_2012,popularity_2016,popularity_2020,popularity_2024,normalized_country_1896,normalized_country_1900,normalized_country_1904,normalized_country_1906,normalized_country_1908,normalized_country_1912,normalized_country_1920,normalized_country_1924,normalized_country_1928,normalized_country_1932,normalized_country_1936,normalized_country_1948,normalized_country_1952,normalized_country_1956,normalized_country_1960,normalized_country_1964,normalized_country_1968,normalized_country_1972,normalized_country_1976,normalized_country_1980,normalized_country_1984,normalized_country_1988,normalized_country_1992,normalized_country_1996,normalized_country_2000,normalized_country_2004,normalized_country_2008,normalized_country_2012,normalized_country_2016,normalized_country_2020,normalized_country_2024,CV_1896,CV_1900,CV_1904,CV_1906,CV_1908,CV_1912,CV_1920,CV_1924,CV_1928,CV_1932,CV_1936,CV_1948,CV_1952,CV_1956,CV_1960,CV_1964,CV_1968,CV_1972,CV_1976,CV_1980,CV_1984,CV_1988,CV_1992,CV_1996,CV_2000,CV_2004,CV_2008,CV_2012,CV_2016
0,Alpine Skiing,0.0,,,,,,,,,,,,,,,,,,,,,0.3592233009708738,,0.2583333333333333,,0.335978835978836,,0.3573200992555831,,0.403125,,0.3284671532846715,,0.3199052132701421,,0.3846153846153846,,0.3205128205128205,,0.3761467889908257,,0.3266832917705736,,0.3607784431137724,,0.348,,,,,,,,,,,,,,,,,2000.0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0139189189189189,0.0481283422459893,0.0403932464201752,0.0626359962698166,0.0346507850568489,0.0433544303797468,0.04027101822693,0.0271761852997742,0.0371357836602551,0.0365894595501846,0.0346047635484984,0.0455164895066775,0.0456954852860537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.13,0.125,0.14,0.145,0.11,0.155,0.165,0.135,0.165,0.15,0.21,0.215,0.25,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8704564895371267,0.8980605256834676,0.8180579768709576,0.9530601610331396,0.6685009455825436,1.027839138786786,0.8001253615779188,0.9453932050844892,0.6277698978131602,0.941454084334076,0.8101524397753171,0.9754101914144284,1.038671490244372,0.0,0.0,0.0,0.0,0.0,0.0
1,Alpinism,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036887405585807,0.0,0.0006022282445046,0.0002702702702702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.02,,0.005,0.005,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6573421981221796,0.0,0.8660254037844388,0.8660254037844388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Archery,0.0,,,0.0,,0.2285714285714285,,,,0.3246753246753247,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.4210526315789473,,0.421875,,0.4328358208955223,,0.4311926605504587,,0.4163424124513619,,0.4534412955465587,,0.5,,0.4854368932038835,,0.5141509433962265,,0.4845360824742268,,0.5,,0.5,,0.5,,0.5,100.0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0165289256198347,0.05380476556495,0.0,0.0248306997742663,0.0,0.0200372786579683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0079438080107032,0.0060940773186059,0.0074969229047778,0.0094062823610631,0.0175115835377487,0.0150490464875403,0.0158200290275761,0.0149048549309022,0.0157702893699323,0.0142626084399353,0.0154798761609907,0.0146113383985973,0.012112036336109,0.0125539427226363,,0.015,0.005,,0.015,,0.015,,,,,,,,,,,0.135,0.12,0.125,0.175,0.205,0.22,0.205,0.23,0.215,0.245,0.275,0.28,,,0.0,0.786203289358708,0.4842775746689512,0.0,0.5682507658350957,0.0,1.0916501271011696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5510649635467575,0.5847219192505987,0.5186739731141549,0.4860004610187405,0.7366218939124874,0.8770374615587204,0.8727766598082738,0.840279324127165,0.8939228920554534,0.8192159254709821,0.7515477363414781,0.8493257129433128
3,Art Competitions,0.0,,,,,,,,,,,0.0,,0.0909090909090909,,0.1037735849056603,,0.068069306930693,,0.1405693950177935,,0.063960639606396,,0.1656050955414012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0081683168316831,0.0025629077353215,0.0558580713156508,0.1449587369931826,0.338452273411623,0.1098648648648648,0.0629679144385026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.06,0.025,0.12,0.095,0.18,0.12,0.135,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.5598319075453653,0.5160420110886788,0.8740125500576016,0.8594168586267616,0.8294200496762502,0.6809223405186584,0.8674832872717333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Athletics,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.1300403225806451,,0.1532567049808429,,0.1330685203574975,,0.2245480494766888,,0.2232142857142857,,0.2132280355380059,,0.2057926829268292,,0.2569288389513108,,0.2631970260223048,,0.3001186239620403,1.0,0.323053199691596,,0.2949526813880126,4.0,0.3028673835125448,1.0,0.3579049466537342,5.0,0.36952288218111,7.0,0.3755238893545683,4.0,0.4177471636952998,17.0,0.4602298850574712,46.0,0.4759358288770053,86.0,0.4815627743634767,2.0,0.4816586921850079,7.0,0.48,2.0,0.5,7500.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2789473684210526,0.1208677685950413,0.1544965411222136,0.271206001154068,0.2508868107062238,0.2381188118811881,0.1978098788443616,0.1761812752503073,0.1779691424470757,0.1571815718157181,0.136081081081081,0.1405080213903743,0.1436204317161786,0.1574448243705315,0.1420682187330806,0.1408227848101265,0.1283519419791965,0.1409816874320595,0.1235002856598743,0.1418820633322144,0.1444597859855022,0.1405014990460616,0.1251447023700725,0.1731494920174165,0.1785688445119745,0.1617942423566168,0.164975738861932,0.1763157894736842,0.1832261835184102,0.179788039364118,0.1775205963122793,0.045,0.085,0.055,0.1,0.1,0.135,0.125,0.2,0.2,0.17,0.215,0.265,0.285,0.295,0.36,0.4,0.46,0.52,0.395,0.35,0.62,0.74,0.78,0.95,0.965,0.98,1.0,1.005,1.0,,,1.001049648656761,0.9756674140727044,0.9781022940208016,0.892951768436883,1.0322520480212192,1.17924759177927,1.0247561351240315,1.1269961513278446,1.1526803047169778,1.2509107178876575,1.1804750203641656,1.0642792936843437,1.064428674654733,1.059613268189659,1.0649211744635378,1.0244510586396092,0.97101349123546,1.0623388311287054,1.207508252785399,1.0126971687308874,1.0532890377816335,1.032189621790079,0.9866999693040333,1.0162115388789676,0.9823826697485694,0.9846875416917026,1.0585618038454596,0.9646079043059592,0.9748015588767772
5,Badminton,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4867256637168141,,0.5057034220532319,,0.5288888888888889,,0.505,,0.5163043478260869,,0.5164835164835165,,0.4971751412429379,,0.5,,0.5,750.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0137695728995308,0.0190856313497822,0.0162795745604514,0.0148776314810682,0.0135274224378767,0.0140866873065015,0.0129310344827586,0.0162755488266464,0.0168693605335425,,,,,,,,,,,,,,,,,,,,,,,0.18,0.185,0.14,0.16,0.25,0.255,0.23,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6121206057579025,0.7907035863820543,0.7991548492216248,0.8362449136201401,0.8370553301358785,0.818297544022213,0.7297821960154122
6,Baseball,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,2.0,0.0,,0.0,,,,,,,,,1250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0097483701943581,0.011611030478955,0.0138919036249186,0.0142081380644201,0.0140420526393177,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.04,0.04,0.04,0.04,0.04,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6581061307646271,0.6268355399286538,0.7019183318720602,0.7526981735455219,0.6548500399498955,0.0,0.0
7,Basketball,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,1.0,0.0,,0.3380281690140845,,0.3348837209302325,,0.3333333333333333,,0.3940677966101695,,0.3983050847457627,,0.5035211267605634,,0.4965034965034965,,0.4982578397212543,,0.4982578397212543,,0.4982578397212543,,0.498220640569395,,0.5,,0.5,1000.0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0268918918918918,0.0383689839572192,0.031416969437914,0.0262667081131488,0.0207904710341093,0.0199367088607594,0.0182269300505773,0.0158876160214064,0.0202818510759855,0.0240572899183171,0.0183810838798757,0.0160806759334968,0.0143788460366782,0.0206095791001451,0.0206931481079516,0.0213494011753328,0.0210998382590795,0.0222136222910216,0.0205289304500292,0.0333080999242997,0.0345233424872499,,,,,,,,,,,0.105,0.115,0.115,0.075,0.08,0.08,0.08,0.08,0.065,0.07,0.065,0.07,0.075,0.095,0.09,0.09,0.095,0.085,0.085,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8447319763142883,0.9745276507169176,0.7450022447423913,0.7970325897236858,0.8580286914166202,0.8155158038999394,0.6954763371216256,0.9012337223063852,0.7678738290907463,0.7439142101178182,0.8341884282646574,0.7698074728763775,0.6726812616672698,0.7329823953049749,0.718220324739404,0.7932708132745614,0.7038981146330433,0.7140553720549268,0.5132553290129536
8,Basque Pelota,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0010330578512396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.4142135623730951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Beach Volleyball,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4285714285714285,,0.5,,0.5,,0.5,,0.5,,0.5,,,,0.5,500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060957910014513,0.0069459518124593,0.0071412631109127,0.0070577856197618,0.0074303405572755,0.0070134424313267,0.0,0.0094154570419772,,,,,,,,,,,,,,,,,,,,,,,,0.105,0.115,0.12,0.115,0.115,0.12,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7360977408617613,0.7484145034710697,0.674317713587612,0.6762575092004525,0.5347910451646551,0.8317432746947824
