Sport,Parameter,Model,MSE,R2
Alpine Skiing,equity,ARIMA,0.0021456787152452747,-1.825073839219299
Alpine Skiing,equity,SARIMAX,0.0015632351270340576,-0.19295408490888089
Alpine Skiing,popularity,ARIMA,0.0008250010975904524,-10.339225685809504
Alpine Skiing,popularity,SARIMAX,0.0008250010975904524,-10.339225685809504
Alpine Skiing,CV,ARIMA,0.01449806899220767,0.17146214873212284
Alpine Skiing,CV,SARIMAX,0.05179065254204405,-1.9597400864908057
Archery,popularity,ARIMA,0.000108100601709439,-0.0003491865791034332
Archery,popularity,SARIMAX,0.000108100601709439,-0.0003491865791034332
Art Competitions,equity,ARIMA,0.012490436030653149,-8.156167072488705
Art Competitions,equity,SARIMAX,0.012490436030653149,-8.156167072488705
Athletics,drug,ARIMA,343.6551724137931,-0.1294462464340147
Athletics,drug,SARIMAX,343.6551724137931,-0.1294462464340147
Athletics,popularity,ARIMA,0.0017610554341612335,-0.4017217278608911
Athletics,popularity,SARIMAX,0.010012551028071824,-6.969544884910887
Athletics,CV,ARIMA,0.007543717677937682,-0.11573568515338661
Athletics,CV,SARIMAX,0.007558810529830851,-0.1179679576438053
Badminton,CV,ARIMA,0.03734236741605793,-26.943139918181274
Badminton,CV,SARIMAX,0.03734236741605793,-26.943139918181274
Baseball,drug,ARIMA,0.13333333333333333,-0.034482758620689946
Baseball,drug,SARIMAX,0.13333333333333333,-0.034482758620689946
Basketball,drug,ARIMA,0.03333333333333333,-0.034482758620689946
Basketball,drug,SARIMAX,0.03333333333333333,-0.034482758620689946
Basketball,equity,ARIMA,0.1391849109429791,-2.0082422515387766
Basketball,equity,SARIMAX,0.1391849109429791,-2.0082422515387766
Beach Volleyball,equity,ARIMA,0.005102040816326542,0.0
Beach Volleyball,equity,SARIMAX,0.005102040816326542,0.0
Beach Volleyball,normalizedcountry,ARIMA,0.0001500000000000001,-24.00000000000011
Beach Volleyball,normalizedcountry,SARIMAX,0.0001500000000000001,-24.00000000000011
Bobsleigh,popularity,ARIMA,5.9207586705544056e-05,-4.31983426270427
Bobsleigh,popularity,SARIMAX,5.9207586705544056e-05,-4.31983426270427
Boxing,popularity,ARIMA,3.372973986278663e-05,-1.9092842228374431
Boxing,popularity,SARIMAX,2.1560806350017173e-05,-0.8596797366635867
