Year,Actuals,ARIMA_Predicted,SARIMA_Predicted,SARIMAX_Predicted
1900,0.9756674140727044,1.0062843132024826,1.0056938412469238,1.0062843132024826
1904,0.9781022940208016,1.0096444599727954,1.020307842401666,1.0096444599727954
1906,0.892951768436883,1.009228351947315,1.0131621066427734,1.009228351947315
1908,1.0322520480212192,0.9373245256442132,0.9876773477328477,0.9373245256442132
1912,1.17924759177927,1.0346139424809815,1.0167328500175876,1.0346139424809815
1920,1.0247561351240315,1.1125018872793537,1.1279292950697315,1.1125018872793537
1924,1.1269961513278446,1.0344813043548764,1.0686048564295372,1.0344813043548764
1928,1.1526803047169778,1.0819651075913972,1.0466651242309772,1.0819651075913972
1932,1.2509107178876575,1.097422901687724,1.1039969868904547,1.097422901687724
1936,1.1804750203641656,1.191663228821335,1.1871660955987295,1.191663228821335
1948,1.0642792936843437,1.1739915970110497,1.1804021598285157,1.1739915970110497
1952,1.064428674654733,1.0606160111213447,1.0947489941300128,1.0606160111213447
1956,1.059613268189659,1.0608294005705623,1.049387726252502,1.0608294005705623
1960,1.0649211744635378,1.058274719246287,1.0536214781319433,1.058274719246287
1964,1.0244510586396092,1.0611505665460073,1.1027679728350512,1.0611505665460073
1968,0.97101349123546,1.0395914229386614,1.0400184967808233,1.0395914229386614
1972,1.0623388311287054,1.0100493179852288,1.0108590314253214,1.0100493179852288
1976,1.207508252785399,1.058576304653399,1.0585538809780528,1.058576304653399
1980,1.0126971687308874,1.1357408010971506,1.1340714972807955,1.1357408010971506
1984,1.0532890377816335,1.0364784338732076,1.0329069779229916,1.0364784338732076
1988,1.032189621790079,1.0553031425932646,1.0581361623693954,1.0553031425932646
1992,0.9866999693040333,1.0453035762770528,1.051213047270963,1.0453035762770528
1996,1.0162115388789676,1.0232861729710905,1.058999279228796,1.0232861729710905
2000,0.9823826697485694,1.0365737147492025,1.001810571605146,1.0365737147492025
2004,0.9846875416917026,1.0196321381403524,1.0280244089080877,1.0196321381403524
2008,1.0585618038454596,1.0195653215186802,1.0291638841800144,1.0195653215186802
2012,0.9646079043059592,1.055007164575004,1.0162105643473287,1.055007164575004
2016,0.9748015588767772,1.0099736410304896,1.0347316974396779,1.0099736410304896
