Sport,Parameter,Model,R2,MSE,Best Window Size
Alpine Skiing,drug,Moving Average,1.0,0.0,2
Alpine Skiing,equity,Moving Average,-0.12351617265515835,0.0014722443798158037,7
Alpine Skiing,popularity,Moving Average,-0.1447337422832149,8.328669170191734e-05,3
Alpine Skiing,normalizedcountry,Moving Average,0.060500877094763705,0.0014567129629629626,3
Alpine Skiing,CV,Moving Average,-0.06312130066055399,0.017102397034170155,7
Alpinism,drug,Moving Average,1.0,0.0,2
Archery,drug,Moving Average,1.0,0.0,2
Archery,equity,Moving Average,0.011463809802758185,0.015864837816750525,2
Archery,popularity,Moving Average,-0.16202294834378583,0.0001255715320224399,9
Archery,normalizedcountry,Moving Average,0.10681022019572972,0.007139166666666666,2
Archery,CV,Moving Average,-0.2108542571746821,0.038614490684666936,9
Art Competitions,drug,Moving Average,1.0,0.0,2
Athletics,drug,Moving Average,-0.11796423627828578,330.2416666666667,2
Athletics,equity,Moving Average,0.6108258635777031,0.011416362263589915,2
Athletics,popularity,Moving Average,0.13415529695507644,0.001109294531861559,2
Athletics,normalizedcountry,Moving Average,0.5629564970844357,0.04748191964285713,2
Athletics,CV,Moving Average,0.04644014124441653,0.006408124927098373,3
Badminton,drug,Moving Average,1.0,0.0,2
Baseball,drug,Moving Average,-0.16219667943805938,0.1497942386831276,9
Basketball,drug,Moving Average,-0.14942528735632243,0.03703703703703705,9
Basketball,equity,Moving Average,0.5122849972089343,0.023589809399673062,2
Basketball,popularity,Moving Average,0.2018977851675804,3.27385529248603e-05,2
Basketball,normalizedcountry,Moving Average,0.010093167701863526,0.00019675925925925923,3
Basketball,CV,Moving Average,0.017339555407143048,0.009139271777303896,6
Basque Pelota,drug,Moving Average,1.0,0.0,2
Beach Volleyball,drug,Moving Average,1.0,0.0,2
Biathlon,drug,Moving Average,1.0,0.0,2
Bobsleigh,drug,Moving Average,1.0,0.0,2
Bobsleigh,equity,Moving Average,1.0,0.0,2
Bobsleigh,popularity,Moving Average,-0.21028367633073008,1.3469963943619157e-05,9
Bobsleigh,normalizedcountry,Moving Average,0.02257217847769022,0.0005541666666666667,3
Bobsleigh,CV,Moving Average,-0.29069269269952636,0.03714617586226049,5
Boxing,drug,Moving Average,0.004065040650406471,0.1814814814814815,3
Boxing,equity,Moving Average,0.3695367168150895,0.008674595409763541,2
Boxing,popularity,Moving Average,0.01710689793663278,1.6628089352333862e-05,4
Boxing,normalizedcountry,Moving Average,0.3224674413163846,0.012066666666666668,2
Boxing,CV,Moving Average,-0.05012364584221163,0.013979488241680086,5
Canoeing,drug,Moving Average,-0.0185185185185186,0.09166666666666666,2
Canoeing,equity,Moving Average,0.18055555010217295,0.012170675795701764,2
Canoeing,popularity,Moving Average,0.0741925106221426,3.633145393013236e-05,4
Canoeing,normalizedcountry,Moving Average,0.29584069593584383,0.003597569444444443,2
Canoeing,CV,Moving Average,-0.1504086415689314,0.007187908227306077,9
Cricket,drug,Moving Average,1.0,0.0,2
Croquet,drug,Moving Average,1.0,0.0,2
Cross Country Skiing,drug,Moving Average,1.0,0.0,2
Cross Country Skiing,equity,Moving Average,0.23743183865872808,0.017917699184213872,2
Cross Country Skiing,popularity,Moving Average,-0.040337799126864526,7.900074768594248e-05,3
Cross Country Skiing,normalizedcountry,Moving Average,0.026297921236811628,0.0013809259259259263,3
Cross Country Skiing,CV,Moving Average,-0.18981581568452643,0.009457282678941472,9
Curling,drug,Moving Average,1.0,0.0,2
Cycling,drug,Moving Average,-0.0018382352941175295,0.9083333333333333,2
Cycling,equity,Moving Average,0.629270175534496,0.00938992418033568,2
Cycling,popularity,Moving Average,0.13071381768330836,0.00011023909314699294,2
Cycling,normalizedcountry,Moving Average,0.42621332823059044,0.007266964285714284,2
Cycling,CV,Moving Average,-0.08315037882907772,0.016656994035000285,7
Diving,drug,Moving Average,1.0,0.0,2
Diving,equity,Moving Average,0.16438059531603644,0.015395464454155818,2
Diving,popularity,Moving Average,0.2603766904508341,6.872100748446986e-06,2
Diving,normalizedcountry,Moving Average,0.4302698731828022,0.0010899038461538463,2
Diving,CV,Moving Average,-0.1064962728984129,0.01260512298631854,9
Equestrianism,drug,Moving Average,-0.19105180027721325,1.5205761316872428,9
Equestrianism,equity,Moving Average,0.5346180920561154,0.012883142882333233,2
Equestrianism,popularity,Moving Average,0.003988541176475846,4.668668152866433e-05,5
Equestrianism,normalizedcountry,Moving Average,0.08026900296150052,0.0025880208333333332,2
Equestrianism,CV,Moving Average,-0.09862331027932258,0.013735602729906529,7
Fencing,drug,Moving Average,1.0,0.0,2
Fencing,equity,Moving Average,0.5667747666870339,0.01312194505520251,2
Fencing,popularity,Moving Average,0.1398447253103493,0.0008112872353347043,4
Fencing,normalizedcountry,Moving Average,0.33195123024781037,0.002419866071428571,2
Fencing,CV,Moving Average,-0.08059355163002402,0.007922207794570599,6
Figure Skating,drug,Moving Average,1.0,0.0,2
Figure Skating,equity,Moving Average,0.01518662277506555,0.0010326298551710299,3
Figure Skating,popularity,Moving Average,-0.15919527733804073,3.6556324107732198e-06,6
Figure Skating,normalizedcountry,Moving Average,0.097871744609353,0.0005573529411764707,2
Figure Skating,CV,Moving Average,-0.026535091434699565,0.016269574326888716,4
Football,drug,Moving Average,1.0,0.0,2
Football,equity,Moving Average,0.6117820272692034,0.013269039503479896,2
Football,popularity,Moving Average,0.26215002185584335,6.971653418369441e-05,2
Football,normalizedcountry,Moving Average,-0.06276401796433806,0.0008838942307692307,2
Football,CV,Moving Average,0.23628305831413676,0.02554514781874698,2
Freestyle Skiing,drug,Moving Average,1.0,0.0,2
Golf,drug,Moving Average,1.0,0.0,2
Gymnastics,drug,Moving Average,-0.02880658436214012,0.0925925925925926,3
Gymnastics,equity,Moving Average,0.4589143347141532,0.022403639779987723,2
Gymnastics,popularity,Moving Average,-0.12790917823585612,0.004676991445774447,6
Gymnastics,normalizedcountry,Moving Average,0.41134662000088607,0.0029658482142857143,2
Gymnastics,CV,Moving Average,0.28021407902647466,0.010232271892482336,4
Handball,drug,Moving Average,1.0,0.0,2
Handball,equity,Moving Average,-0.20310071422975118,0.019719712957660836,3
Handball,popularity,Moving Average,0.06920901757000053,1.6575868503735895e-05,3
Handball,normalizedcountry,Moving Average,0.1858552631578947,8.593750000000001e-05,2
Handball,CV,Moving Average,-0.18274058515706937,0.0071920546874474104,7
Hockey,drug,Moving Average,1.0,0.0,2
Hockey,equity,Moving Average,0.5500107014267996,0.023485851858798156,2
Hockey,popularity,Moving Average,0.010989650222844594,3.625494879156095e-05,2
Hockey,normalizedcountry,Moving Average,-0.02462724074384348,0.000315909090909091,2
Hockey,CV,Moving Average,-0.12278634909228225,0.008579448656922705,4
Ice Hockey,drug,Moving Average,1.0,0.0,2
Ice Hockey,equity,Moving Average,1.0,0.0,2
Ice Hockey,popularity,Moving Average,-0.1625223366196582,2.234793272844214e-05,5
Ice Hockey,normalizedcountry,Moving Average,-0.11777777777777798,0.00022006250000000004,5
Ice Hockey,CV,Moving Average,-0.02399706923875433,0.00896917252600534,8
Jeu De Paume,drug,Moving Average,1.0,0.0,2
