Sport,Parameter,Model,R2,MSE
Alpine Skiing,drug,ARIMA,1.0,0.0
Alpine Skiing,drug,SARIMA,1.0,0.0
Alpine Skiing,drug,SARIMAX,1.0,0.0
Alpine Skiing,equity,ARIMA,-0.029284749052470582,0.0013487644627682004
Alpine Skiing,equity,SARIMA,-0.09574024679941195,0.0014358470837816375
Alpine Skiing,equity,SARIMAX,-0.029284749052470582,0.0013487644627682004
Alpine Skiing,popularity,ARIMA,-0.3002921629383588,9.460456042910365e-05
Alpine Skiing,popularity,SARIMA,0.1321559096656132,6.314120089868763e-05
Alpine Skiing,popularity,SARIMAX,-0.3002921629383588,9.460456042910365e-05
Alpine Skiing,normalizedcountry,ARIMA,-0.11003036445733816,0.0017211252057236955
Alpine Skiing,normalizedcountry,SARIMA,-0.07028552119508458,0.0016594999982280036
Alpine Skiing,normalizedcountry,SARIMAX,-0.11003036445733816,0.0017211252057236955
Alpine Skiing,CV,ARIMA,0.1610837812646585,0.013495617332003376
Alpine Skiing,CV,SARIMA,0.07768989168331542,0.01483717206235983
Alpine Skiing,CV,SARIMAX,0.1610837812646585,0.013495617332003376
Alpinism,drug,ARIMA,1.0,0.0
Alpinism,drug,SARIMA,1.0,0.0
Alpinism,drug,SARIMAX,1.0,0.0
Archery,drug,ARIMA,1.0,0.0
Archery,drug,SARIMA,1.0,0.0
Archery,drug,SARIMAX,1.0,0.0
Archery,equity,ARIMA,-0.198009169610035,0.01922663162696237
Archery,equity,SARIMA,-0.30351532835644446,0.020919880810733923
Archery,equity,SARIMAX,-0.198009169610035,0.01922663162696237
Archery,popularity,ARIMA,-0.5022640112875307,0.00016233895696158093
Archery,popularity,SARIMA,-0.37511068591365904,0.00014859840399599435
Archery,popularity,SARIMAX,-0.5022640112875307,0.00016233895696158093
Archery,normalizedcountry,ARIMA,0.12946367109941304,0.006958100150643626
Archery,normalizedcountry,SARIMA,0.07418667104195298,0.007399923070214008
Archery,normalizedcountry,SARIMAX,0.12946367109941304,0.006958100150643626
Archery,CV,ARIMA,-0.06436581707857703,0.03394293217794699
Archery,CV,SARIMA,-0.2025693232096042,0.03835028175653048
Archery,CV,SARIMAX,-0.06436581707857703,0.03394293217794699
Art Competitions,drug,ARIMA,1.0,0.0
Art Competitions,drug,SARIMA,1.0,0.0
Art Competitions,drug,SARIMAX,1.0,0.0
Athletics,drug,ARIMA,-0.11238879623748099,328.5947064583464
Athletics,drug,SARIMA,-0.21772835425914727,359.7115437221333
Athletics,drug,SARIMAX,-0.11238879623748099,328.5947064583464
Athletics,equity,ARIMA,0.684056575744805,0.00926815080584511
Athletics,equity,SARIMA,0.6769111145167926,0.009477761790453058
Athletics,equity,SARIMAX,0.684056575744805,0.00926815080584511
Athletics,popularity,ARIMA,0.33478850560461937,0.0008522492205232855
Athletics,popularity,SARIMA,0.32642823645151875,0.0008629601491965354
Athletics,popularity,SARIMAX,0.33478850560461937,0.0008522492205232855
Athletics,normalizedcountry,ARIMA,0.6467019840400476,0.038383519928523575
Athletics,normalizedcountry,SARIMA,0.5473550366923075,0.04917691632787448
Athletics,normalizedcountry,SARIMAX,0.6467019840400476,0.038383519928523575
Athletics,CV,ARIMA,0.10761953597100804,0.005996986391040564
Athletics,CV,SARIMA,0.07523406418704692,0.006214623644862756
Athletics,CV,SARIMAX,0.10761953597100804,0.005996986391040564
Badminton,drug,ARIMA,1.0,0.0
Badminton,drug,SARIMA,1.0,0.0
Badminton,drug,SARIMAX,1.0,0.0
Baseball,drug,ARIMA,-0.021169251181282434,0.13161737015225414
Baseball,drug,SARIMA,-0.02615105936425577,0.13225946987361514
Baseball,drug,SARIMAX,-0.021169251181282434,0.13161737015225414
Basketball,drug,ARIMA,-0.022339881058252464,0.032942062834099235
Basketball,drug,SARIMA,-0.02916172832128283,0.03316187791257466
Basketball,drug,SARIMAX,-0.022339881058252464,0.032942062834099235
Basketball,equity,ARIMA,0.6080486161512003,0.01895791268675046
Basketball,equity,SARIMA,0.5939367494092871,0.01964047575085601
Basketball,equity,SARIMAX,0.6080486161512003,0.01895791268675046
Basketball,popularity,ARIMA,0.48534674075648077,2.1111334679397736e-05
Basketball,popularity,SARIMA,0.4561601469782123,2.2308583386829124e-05
Basketball,popularity,SARIMAX,0.48534674075648077,2.1111334679397736e-05
Basketball,normalizedcountry,ARIMA,0.10167982815533605,0.00017855499711974185
Basketball,normalizedcountry,SARIMA,0.04339597989210331,0.00019013981140416218
Basketball,normalizedcountry,SARIMAX,0.10167982815533605,0.00017855499711974185
Basketball,CV,ARIMA,-0.015724091675662244,0.009446781516096545
Basketball,CV,SARIMA,-0.012325042875532377,0.00941516853020743
Basketball,CV,SARIMAX,-0.015724091675662244,0.009446781516096545
Basque Pelota,drug,ARIMA,1.0,0.0
Basque Pelota,drug,SARIMA,1.0,0.0
Basque Pelota,drug,SARIMAX,1.0,0.0
Beach Volleyball,drug,ARIMA,1.0,0.0
Beach Volleyball,drug,SARIMA,1.0,0.0
Beach Volleyball,drug,SARIMAX,1.0,0.0
Biathlon,drug,ARIMA,1.0,0.0
Biathlon,drug,SARIMA,1.0,0.0
Biathlon,drug,SARIMAX,1.0,0.0
Bobsleigh,drug,ARIMA,1.0,0.0
Bobsleigh,drug,SARIMA,1.0,0.0
Bobsleigh,drug,SARIMAX,1.0,0.0
Bobsleigh,equity,ARIMA,1.0,0.0
Bobsleigh,equity,SARIMA,1.0,0.0
Bobsleigh,equity,SARIMAX,1.0,0.0
Bobsleigh,popularity,ARIMA,-0.29724447360256145,1.4437802167556213e-05
Bobsleigh,popularity,SARIMA,-0.37924614052721806,1.535044729232608e-05
Bobsleigh,popularity,SARIMAX,-0.29724447360256145,1.4437802167556213e-05
Bobsleigh,normalizedcountry,ARIMA,-0.1885110296940573,0.0006738433070140414
Bobsleigh,normalizedcountry,SARIMA,-0.30390535167543575,0.000739267766351698
Bobsleigh,normalizedcountry,SARIMAX,-0.1885110296940573,0.0006738433070140414
Bobsleigh,CV,ARIMA,-0.351714914484041,0.0389023973042309
Bobsleigh,CV,SARIMA,-0.4832667707586822,0.04268846382171002
Bobsleigh,CV,SARIMAX,-0.351714914484041,0.0389023973042309
Boxing,drug,ARIMA,-0.12741584428569852,0.20544022051428282
Boxing,drug,SARIMA,-0.1369987441668259,0.20718643782595497
Boxing,drug,SARIMAX,-0.12741584428569852,0.20544022051428282
Boxing,equity,ARIMA,-0.03506719178917028,0.014241573379710612
Boxing,equity,SARIMA,-0.013111561544985717,0.013939484083768522
Boxing,equity,SARIMAX,-0.03506719178917028,0.014241573379710612
Boxing,popularity,ARIMA,-0.2922512830086612,2.1861654898612543e-05
Boxing,popularity,SARIMA,-0.2944079473735295,2.189814025768846e-05
Boxing,popularity,SARIMAX,-0.2922512830086612,2.1861654898612543e-05
Boxing,normalizedcountry,ARIMA,0.39976912162514755,0.010689945213056573
Boxing,normalizedcountry,SARIMA,0.36015821570849915,0.01139540444440266
Boxing,normalizedcountry,SARIMAX,0.39976912162514755,0.010689945213056573
Boxing,CV,ARIMA,0.06303505231392903,0.012473093545607043
Boxing,CV,SARIMA,0.22589896964035783,0.010305011504722433
Boxing,CV,SARIMAX,0.06303505231392903,0.012473093545607043
Canoeing,drug,ARIMA,0.2592592592592592,0.06666666666666667
Canoeing,drug,SARIMA,0.2592592592592592,0.06666666666666667
Canoeing,drug,SARIMAX,0.2592592592592592,0.06666666666666667
Canoeing,equity,ARIMA,-0.18002463149358205,0.017526138864741265
Canoeing,equity,SARIMA,-0.13770170362688727,0.016897543925993873
Canoeing,equity,SARIMAX,-0.18002463149358205,0.017526138864741265
Canoeing,popularity,ARIMA,0.2959231579778313,2.7630080381388308e-05
Canoeing,popularity,SARIMA,0.32878080379676355,2.634064811926073e-05
Canoeing,popularity,SARIMAX,0.2959231579778313,2.7630080381388308e-05
Canoeing,normalizedcountry,ARIMA,0.3865168686688236,0.0031343023591690732
Canoeing,normalizedcountry,SARIMA,0.2903801814779241,0.003625467364490912
Canoeing,normalizedcountry,SARIMAX,0.3865168686688236,0.0031343023591690732
Canoeing,CV,ARIMA,-0.1585105910223601,0.007238530299350056
Canoeing,CV,SARIMA,-0.005393129362624816,0.00628183176403026
Canoeing,CV,SARIMAX,-0.1585105910223601,0.007238530299350056
Cricket,drug,ARIMA,1.0,0.0
Cricket,drug,SARIMA,1.0,0.0
Cricket,drug,SARIMAX,1.0,0.0
Croquet,drug,ARIMA,1.0,0.0
Croquet,drug,SARIMA,1.0,0.0
Croquet,drug,SARIMAX,1.0,0.0
Cross Country Skiing,drug,ARIMA,1.0,0.0
Cross Country Skiing,drug,SARIMA,1.0,0.0
Cross Country Skiing,drug,SARIMAX,1.0,0.0
Cross Country Skiing,equity,ARIMA,0.3694057230865556,0.014816771973732339
Cross Country Skiing,equity,SARIMA,0.2544341228080951,0.017518204649460342
Cross Country Skiing,equity,SARIMAX,0.3694057230865556,0.014816771973732339
Cross Country Skiing,popularity,ARIMA,-0.1180319004281658,8.490065067777992e-05
Cross Country Skiing,popularity,SARIMA,-0.13399372099604,8.611275290106666e-05
Cross Country Skiing,popularity,SARIMAX,-0.1180319004281658,8.490065067777992e-05
Cross Country Skiing,normalizedcountry,ARIMA,-0.206975594273467,0.0017117596094785035
Cross Country Skiing,normalizedcountry,SARIMA,-0.29021988017347744,0.0018298185056149182
Cross Country Skiing,normalizedcountry,SARIMAX,-0.206975594273467,0.0017117596094785035
Cross Country Skiing,CV,ARIMA,-0.706615051232447,0.013565075157751018
Cross Country Skiing,CV,SARIMA,-0.7768492570554855,0.014123333612079339
Cross Country Skiing,CV,SARIMAX,-0.706615051232447,0.013565075157751018
Curling,drug,ARIMA,1.0,0.0
Curling,drug,SARIMA,1.0,0.0
Curling,drug,SARIMAX,1.0,0.0
Cycling,drug,ARIMA,0.275401992213287,0.6569688603932865
Cycling,drug,SARIMA,0.2505707052671553,0.6794825605577793
Cycling,drug,SARIMAX,0.275401992213287,0.6569688603932865
Cycling,equity,ARIMA,0.6566352630686816,0.008696815398206497
Cycling,equity,SARIMA,0.6489542931410114,0.0088913606451562
Cycling,equity,SARIMAX,0.6566352630686816,0.008696815398206497
Cycling,popularity,ARIMA,0.40472722439652187,7.548990458209518e-05
Cycling,popularity,SARIMA,0.05625824293333992,0.0001196812253321614
Cycling,popularity,SARIMAX,0.40472722439652187,7.548990458209518e-05
Cycling,normalizedcountry,ARIMA,0.4393446181554175,0.007100657503762007
Cycling,normalizedcountry,SARIMA,0.3816959946674823,0.007830772908352256
Cycling,normalizedcountry,SARIMAX,0.4393446181554175,0.007100657503762007
Cycling,CV,ARIMA,-0.15016824412286156,0.017687613794044068
Cycling,CV,SARIMA,-0.17986297163286724,0.018144267744107618
Cycling,CV,SARIMAX,-0.15016824412286156,0.017687613794044068
Diving,drug,ARIMA,1.0,0.0
Diving,drug,SARIMA,1.0,0.0
Diving,drug,SARIMAX,1.0,0.0
Diving,equity,ARIMA,0.3073801366873463,0.012760838757574222
Diving,equity,SARIMA,0.2188527735543896,0.014391868224690348
Diving,equity,SARIMAX,0.3073801366873463,0.012760838757574222
Diving,popularity,ARIMA,0.2879598226510519,6.615816149259365e-06
Diving,popularity,SARIMA,0.3446172574394083,6.089391961450196e-06
Diving,popularity,SARIMAX,0.2879598226510519,6.615816149259365e-06
Diving,normalizedcountry,ARIMA,0.4683854447466176,0.0010169880811444884
Diving,normalizedcountry,SARIMA,0.40782957447145973,0.0011328325359371424
Diving,normalizedcountry,SARIMAX,0.4683854447466176,0.0010169880811444884
Diving,CV,ARIMA,-0.030847875294218285,0.0117433420848601
Diving,CV,SARIMA,-0.04468773832031059,0.011901004771875508
Diving,CV,SARIMAX,-0.030847875294218285,0.0117433420848601
Equestrianism,drug,ARIMA,-0.1796535135745172,1.5060243189968008
Equestrianism,drug,SARIMA,-0.28969027467580344,1.6465045840027763
Equestrianism,drug,SARIMAX,-0.1796535135745172,1.5060243189968008
Equestrianism,equity,ARIMA,0.34856806072734925,0.018033556114899395
Equestrianism,equity,SARIMA,0.2913710055866241,0.019616939184263375
Equestrianism,equity,SARIMAX,0.34856806072734925,0.018033556114899395
Equestrianism,popularity,ARIMA,-0.10759040147069032,5.191679260271406e-05
Equestrianism,popularity,SARIMA,-0.1148349399278199,5.225637048284175e-05
Equestrianism,popularity,SARIMAX,-0.10759040147069032,5.191679260271406e-05
Equestrianism,normalizedcountry,ARIMA,0.13394894557639525,0.002436971439253088
Equestrianism,normalizedcountry,SARIMA,0.14901030439802188,0.002394590449013344
Equestrianism,normalizedcountry,SARIMAX,0.13394894557639525,0.002436971439253088
Equestrianism,CV,ARIMA,-0.039680497098776746,0.012998666731866186
Equestrianism,CV,SARIMA,-0.10292756331814346,0.013789416907374877
Equestrianism,CV,SARIMAX,-0.039680497098776746,0.012998666731866186
Fencing,drug,ARIMA,1.0,0.0
Fencing,drug,SARIMA,1.0,0.0
Fencing,drug,SARIMAX,1.0,0.0
Fencing,equity,ARIMA,0.6373152391996499,0.010985346968798137
Fencing,equity,SARIMA,0.45629680742698964,0.016468208383714437
Fencing,equity,SARIMAX,0.6373152391996499,0.010985346968798137
Fencing,popularity,ARIMA,0.14059939090403417,0.0008105754445904996
Fencing,popularity,SARIMA,0.060383909109962386,0.0008862336406984457
Fencing,popularity,SARIMAX,0.14059939090403417,0.0008105754445904996
Fencing,normalizedcountry,ARIMA,0.26684905077331245,0.0026556850152233925
Fencing,normalizedcountry,SARIMA,0.281912681924397,0.0026011201816581037
Fencing,normalizedcountry,SARIMAX,0.26684905077331245,0.0026556850152233925
Fencing,CV,ARIMA,-0.0688609803253668,0.007836192226830163
Fencing,CV,SARIMA,-0.16145365255375954,0.008515021365261893
Fencing,CV,SARIMAX,-0.0688609803253668,0.007836192226830163
Figure Skating,drug,ARIMA,1.0,0.0
Figure Skating,drug,SARIMA,1.0,0.0
Figure Skating,drug,SARIMAX,1.0,0.0
Figure Skating,equity,ARIMA,0.0043686360855306194,0.0010439730967300904
Figure Skating,equity,SARIMA,-0.17364448487518547,0.0012306294395127107
Figure Skating,equity,SARIMAX,0.0043686360855306194,0.0010439730967300904
Figure Skating,popularity,ARIMA,-0.2466106630980538,3.931305132731143e-06
Figure Skating,popularity,SARIMA,-0.4406994835240452,4.543382663056597e-06
Figure Skating,popularity,SARIMAX,-0.2466106630980538,3.931305132731143e-06
Figure Skating,normalizedcountry,ARIMA,-0.29953751642930704,0.0008028803583337467
Figure Skating,normalizedcountry,SARIMA,-0.3174702644426297,0.0008139595699523584
Figure Skating,normalizedcountry,SARIMAX,-0.29953751642930704,0.0008028803583337467
Figure Skating,CV,ARIMA,-0.2181625197237218,0.019306681108364105
Figure Skating,CV,SARIMA,0.10061697715182705,0.014254338756329808
